model,outcome,sample,term,estimate,se,ci_low,ci_high,p,n,r2,llf,aic,formula,structure,scaling
14,Cadence,full,AgeGroup:Speed,-0.0434701635115,0.0232466310288,-0.0890327230899,0.00209239606678,0.0614900098514,258,0.880849124206,20.5946593961,-27.1893187923,Cadence ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
14,Cadence,full,Speed2,-0.135450112996,0.0112665122886,-0.157532071313,-0.113368154679,2.71102246197e-33,258,0.880849124206,20.5946593961,-27.1893187923,Cadence ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
1,StepLength,omit_7_31,Intercept,0.102336814053,0.0905205929262,-0.0750802879414,0.279753916048,0.258250321619,246,0.00782910095363,-350.185315968,708.370631936,StepLength ~ AgeGroup,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
1,StepLength,omit_7_31,AgeGroup,-0.17852973271,0.129605765206,-0.432552364702,0.0754928992826,0.168362980431,246,0.00782910095363,-350.185315968,708.370631936,StepLength ~ AgeGroup,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
2,StepLength,omit_7_31,Intercept,0.000290544583751,0.0475816556027,-0.0929677867224,0.0935488758899,0.995127962782,246,0.890730170681,42.5950925104,-77.1901850209,StepLength ~ Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
2,StepLength,omit_7_31,Speed,0.954423524038,0.0105429314598,0.933759758086,0.975087289991,0,246,0.890730170681,42.5950925104,-77.1901850209,StepLength ~ Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
3,StepLength,omit_7_31,Intercept,0.127198791528,0.0607219420245,0.00818597208831,0.246211610967,0.0361910198303,246,0.907326180226,46.8328135174,-83.6656270349,StepLength ~ AgeGroup + Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
3,StepLength,omit_7_31,AgeGroup,-0.260170658201,0.086944372467,-0.430578496894,-0.0897628195068,0.00276810874581,246,0.907326180226,46.8328135174,-83.6656270349,StepLength ~ AgeGroup + Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
3,StepLength,omit_7_31,Speed,0.954695920882,0.0105380496413,0.934041723117,0.975350118646,0,246,0.907326180226,46.8328135174,-83.6656270349,StepLength ~ AgeGroup + Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
4,StepLength,omit_7_31,Intercept,0.0416980160734,0.0486427679242,-0.0536400571664,0.137036089313,0.391318056998,246,0.892158442653,51.1106532065,-92.221306413,StepLength ~ Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
4,StepLength,omit_7_31,Speed,0.961425000529,0.0102742722632,0.941287796926,0.981562204132,0,246,0.892158442653,51.1106532065,-92.221306413,StepLength ~ Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
4,StepLength,omit_7_31,Speed2,-0.0412693049801,0.00983883619718,-0.0605530695763,-0.0219855403838,2.73436566267e-05,246,0.892158442653,51.1106532065,-92.221306413,StepLength ~ Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
5,StepLength,omit_7_31,Intercept,0.167953673995,0.06163233273,0.0471565215614,0.28875082643,0.00642838969349,246,0.908629759754,55.2989628317,-98.5979256635,StepLength ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
5,StepLength,omit_7_31,AgeGroup,-0.259065012071,0.0871386722777,-0.429853671396,-0.0882763527465,0.00294885273176,246,0.908629759754,55.2989628317,-98.5979256635,StepLength ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
