model,outcome,sample,term,estimate,se,ci_low,ci_high,p,n,r2,llf,aic,formula
10,H2A_I,full,StepLength,-0.384737665766,0.144152436977,-0.67585941823,-0.0936159133028,0.0108513862236,43,0.148023071459,-57.064240852,118.128481704,H2A_I ~ StepLength
11,H2A_I,full,Intercept,-3.74700270811e-16,0.138986121308,-0.280688166304,0.280688166304,1,43,0.189139971472,-56.0007648676,116.001529735,H2A_I ~ Cadence
11,H2A_I,full,Cadence,0.434902255078,0.140630984731,0.150892219699,0.718912290457,0.00356378345539,43,0.189139971472,-56.0007648676,116.001529735,H2A_I ~ Cadence
12,H2A_I,full,Intercept,-0.282062114868,0.200752045284,-0.687797133144,0.123672903409,0.167732137701,43,0.220860859409,-55.1427900875,116.285580175,H2A_I ~ AgeGroup + StepLength
12,H2A_I,full,AgeGroup,0.577555759015,0.298671002751,-0.0260808544438,1.18119237247,0.0602415297685,43,0.220860859409,-55.1427900875,116.285580175,H2A_I ~ AgeGroup + StepLength
12,H2A_I,full,StepLength,-0.272960029294,0.151061980713,-0.578267680924,0.0323476223356,0.0782978066452,43,0.220860859409,-55.1427900875,116.285580175,H2A_I ~ AgeGroup + StepLength
13,H2A_I,full,Intercept,-0.276670038991,0.192759933341,-0.666252396504,0.112912318522,0.158972965203,43,0.262790856277,-53.9534527596,113.906905519,H2A_I ~ AgeGroup + Cadence
13,H2A_I,full,AgeGroup,0.566514841743,0.283392053887,-0.00624186417652,1.13927154766,0.0524292128625,43,0.262790856277,-53.9534527596,113.906905519,H2A_I ~ AgeGroup + Cadence
13,H2A_I,full,Cadence,0.342979426166,0.143334185723,0.0532902308106,0.632668621521,0.0215023479816,43,0.262790856277,-53.9534527596,113.906905519,H2A_I ~ AgeGroup + Cadence
14,H2A_I,full,Intercept,-0.291138596801,0.217867939976,-0.731818100757,0.149540907155,0.189193541334,43,0.221128561377,-55.1354017008,118.270803402,H2A_I ~ AgeGroup * StepLength
14,H2A_I,full,AgeGroup,0.581690636847,0.304525381388,-0.034270087007,1.1976513607,0.0634868620363,43,0.221128561377,-55.1354017008,118.270803402,H2A_I ~ AgeGroup * StepLength
14,H2A_I,full,StepLength,-0.248394284578,0.261566845302,-0.777463167553,0.280674598398,0.348143336328,43,0.221128561377,-55.1354017008,118.270803402,H2A_I ~ AgeGroup * StepLength
14,H2A_I,full,AgeGroup:StepLength,-0.0373323946355,0.322448715555,-0.689546483765,0.614881694494,0.908422768455,43,0.221128561377,-55.1354017008,118.270803402,H2A_I ~ AgeGroup * StepLength
15,H2A_I,full,Intercept,-0.266085143482,0.206101395149,-0.682964564057,0.150794277092,0.204290366242,43,0.263272580066,-53.9393991536,115.878798307,H2A_I ~ AgeGroup * Cadence
15,H2A_I,full,AgeGroup,0.561029840209,0.288957195075,-0.0234412545477,1.14550093497,0.0594390675833,43,0.263272580066,-53.9393991536,115.878798307,H2A_I ~ AgeGroup * Cadence
