model,outcome,sample,role,formula,structure,scaling,estimator,converged,llf,aic,residual_variance,intercept_variance,slope_variance,intercept_slope_covariance,intercept_slope_correlation,min_eigenvalue,max_eigenvalue,covariance_positive_definite,eigenvalue_ratio,n,subjects
12,Cadence,full,RI sensitivity,Cadence ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,18.846491184,-25.6929823679,0.0313618684332,0.0868813120749,,,,0.0868813120749,0.0868813120749,True,1,258,43
12,Cadence,full,RI sensitivity,Cadence ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,8.15693336722,,0.0316551680701,0.0913441909116,,,,0.0913441909116,0.0913441909116,True,1,258,43
12,Cadence,full,primary,Cadence ~ AgeGroup + Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,46.4445136015,-76.8890272031,0.0173925822008,0.0924805929722,0.0145774911907,0.0100203462647,0.272907852915,0.0133092626681,0.0937488214948,True,0.141967253091,258,43
12,Cadence,full,primary,Cadence ~ AgeGroup + Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,36.1759774071,,0.0174758880834,0.0970261094923,0.0150611270061,0.0102901310587,0.269183144393,0.0137890163022,0.0982982201961,True,0.140277375061,258,43
13,Cadence,full,RI sensitivity,Cadence ~ AgeGroup * Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,-35.4556388846,82.9112777692,0.0516796420701,0.0861412533426,,,,0.0861412533426,0.0861412533426,True,1,258,43
13,Cadence,full,RI sensitivity,Cadence ~ AgeGroup * Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,-44.8970942939,,0.0521597453737,0.0907343374435,,,,0.0907343374435,0.0907343374435,True,1,258,43
13,Cadence,full,primary,Cadence ~ AgeGroup * Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,1.18889192054,13.6222161589,0.0257795607873,0.0917785118087,0.0251019553075,0.0124677386761,0.259754696889,0.0228469012554,0.0940335658608,True,0.242965382056,258,43
13,Cadence,full,primary,Cadence ~ AgeGroup * Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,-7.12257567276,,0.0257721955666,0.0965360184542,0.0265977691668,0.0131166689302,0.258854821838,0.0242187120318,0.0989150755891,True,0.244843487078,258,43
14,Cadence,full,RI sensitivity,Cadence ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,20.5946593961,-27.1893187923,0.0307948377298,0.0878939269412,,,,0.0878939269412,0.0878939269412,True,1,258,43
14,Cadence,full,RI sensitivity,Cadence ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,7.05269665509,,0.0312284687946,0.0923941485268,,,,0.0923941485268,0.0923941485268,True,1,258,43
14,Cadence,full,primary,Cadence ~ AgeGroup * Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,47.0902181446,-76.1804362892,0.0173887102312,0.0924832124565,0.0140380772549,0.00975547738011,0.270746754165,0.0128430849576,0.0936782047538,True,0.137097897973,258,43
14,Cadence,full,primary,Cadence ~ AgeGroup * Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,34.5331762012,,0.0174646611558,0.0971991921305,0.0149749600224,0.0102868685388,0.269630505742,0.0137075320632,0.0984666200898,True,0.139209937852,258,43
1,StepLength,omit_7_31,RI sensitivity,StepLength ~ AgeGroup,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,-350.185315968,708.370631936,1.00920002896,5.67929250428e-08,,,,5.67929250428e-08,5.67929250428e-08,True,1,246,41
1,StepLength,omit_7_31,RI sensitivity,StepLength ~ AgeGroup,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,-353.143605673,,1.01462452137,0.00296944572245,,,,0.00296944572245,0.00296944572245,True,1,246,41
2,StepLength,omit_7_31,RI sensitivity,StepLength ~ Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,42.5950925104,-77.1901850209,0.0247484452361,0.0864238908943,,,,0.0864238908943,0.0864238908943,True,1,246,41
2,StepLength,omit_7_31,RI sensitivity,StepLength ~ Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,36.8278710824,,0.0248691763864,0.0886785897615,,,,0.0886785897615,0.0886785897615,True,1,246,41
2,StepLength,omit_7_31,primary,StepLength ~ Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,57.8128267059,-103.625653412,0.0172407889087,0.0883737670227,0.0070767435431,0.00966028669401,0.386288343246,0.00594460610567,0.0895059044601,True,0.0664157983937,246,41
2,StepLength,omit_7_31,primary,StepLength ~ Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,52.415619024,,0.0172363067734,0.0907045669976,0.00734410045713,0.00991605678491,0.384198021016,0.00618078079787,0.0918678866568,True,0.0672790136227,246,41
3,StepLength,omit_7_31,RI sensitivity,StepLength ~ AgeGroup + Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,46.8328135174,-83.6656270349,0.024748297286,0.069516057789,,,,0.069516057789,0.069516057789,True,1,246,41
3,StepLength,omit_7_31,RI sensitivity,StepLength ~ AgeGroup + Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,39.4317707604,,0.0248689101579,0.0732838392052,,,,0.0732838392052,0.0732838392052,True,1,246,41
3,StepLength,omit_7_31,primary,StepLength ~ AgeGroup + Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,63.1224664534,-112.244932907,0.0172241976295,0.071551987023,0.0070821560114,0.0105300108375,0.467773079094,0.00540585057334,0.0732282924611,True,0.0738218848434,246,41
3,StepLength,omit_7_31,primary,StepLength ~ AgeGroup + Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,55.9953232072,,0.0172195069424,0.0751289796298,0.00735102619018,0.0108097206703,0.459977661947,0.00566876728223,0.0768112385377,True,0.0738012742686,246,41
4,StepLength,omit_7_31,RI sensitivity,StepLength ~ Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,51.1106532065,-92.221306413,0.0227662136181,0.0869384670795,,,,0.0869384670795,0.0869384670795,True,1,246,41
4,StepLength,omit_7_31,RI sensitivity,StepLength ~ Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,41.5992011287,,0.022989871662,0.0891826003421,,,,0.0891826003421,0.0891826003421,True,1,246,41
4,StepLength,omit_7_31,primary,StepLength ~ Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,79.2721354337,-144.544270867,0.0126410218815,0.0894275018657,0.00986798292035,0.00942182829508,0.317165135474,0.00876742791128,0.0905280568747,True,0.0968476317062,246,41
4,StepLength,omit_7_31,primary,StepLength ~ Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,70.137546871,,0.0127074907671,0.0917324650298,0.0102030427893,0.00967216500128,0.316153002547,0.00907130479354,0.0928642030255,True,0.0976835475673,246,41
5,StepLength,omit_7_31,RI sensitivity,StepLength ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,55.2989628317,-98.5979256635,0.0227661120872,0.0701737415718,,,,0.0701737415718,0.0701737415718,True,1,246,41
5,StepLength,omit_7_31,RI sensitivity,StepLength ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,44.1570172049,,0.0229896282263,0.0739434551827,,,,0.0739434551827,0.0739434551827,True,1,246,41
5,StepLength,omit_7_31,primary,StepLength ~ AgeGroup + Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,84.6074651176,-153.214930235,0.0126361273759,0.0728985836817,0.00986143693343,0.0110017550983,0.410329108901,0.00799649517236,0.0747635254428,True,0.10695717096,246,41
5,StepLength,omit_7_31,primary,StepLength ~ AgeGroup + Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,73.7506448995,,0.0127016731439,0.0765024422094,0.0101994274303,0.0112966970573,0.404413771866,0.00832754539786,0.0783743242418,True,0.106253488989,246,41
6,StepLength,omit_7_31,RI sensitivity,StepLength ~ AgeGroup * Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,47.0509434135,-82.101886827,0.0246749102328,0.069838839344,,,,0.069838839344,0.069838839344,True,1,246,41
6,StepLength,omit_7_31,RI sensitivity,StepLength ~ AgeGroup * Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,36.7117534452,,0.0249164282423,0.0736166464449,,,,0.0736166464449,0.0736166464449,True,1,246,41
6,StepLength,omit_7_31,primary,StepLength ~ AgeGroup * Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,63.2114352188,-110.422870438,0.0172251564559,0.0715984718055,0.0070285470003,0.0105063261799,0.468345365152,0.00536204865177,0.073264970154,True,0.0731870720823,246,41
6,StepLength,omit_7_31,primary,StepLength ~ AgeGroup * Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,53.5693982652,,0.0172173954078,0.075489475247,0.0075749961804,0.0110775087679,0.463241746308,0.00581381865437,0.0772506527731,True,0.0752591524559,246,41
7,StepLength,omit_7_31,RI sensitivity,StepLength ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,55.7784575971,-97.5569151942,0.0226323688988,0.0706463789863,,,,0.0706463789863,0.0706463789863,True,1,246,41
7,StepLength,omit_7_31,RI sensitivity,StepLength ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,41.6574963295,,0.0229669788713,0.0744336138021,,,,0.0744336138021,0.0744336138021,True,1,246,41
7,StepLength,omit_7_31,primary,StepLength ~ AgeGroup * Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,84.833337866,-151.666675732,0.0126319827381,0.0728948602903,0.00973365014901,0.0109115436366,0.409637657089,0.00790173659023,0.0747267738491,True,0.105741706529,246,41
