model,outcome,sample,term,estimate,se,ci_low,ci_high,p,n,r2,llf,aic,formula,covariance,inference,df_resid,scaling,structure
cadence_sex_height,H2A_I,full,AgeGroup,0.451511157864,0.280440128863,-0.116210202333,1.01923251806,0.115672953964,43,0.386095710041,-50.0182520191,110.036504038,H2A_I ~ AgeGroup + Cadence + Female + Height,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_height,H2A_I,full,Cadence,0.375199804572,0.149253639356,0.0730516081174,0.677348001028,0.0162987444454,43,0.386095710041,-50.0182520191,110.036504038,H2A_I ~ AgeGroup + Cadence + Female + Height,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_height,H2A_I,full,Female,-0.957016589138,0.368663919525,-1.70333767627,-0.210695502006,0.0133385011116,43,0.386095710041,-50.0182520191,110.036504038,H2A_I ~ AgeGroup + Cadence + Female + Height,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_height,H2A_I,full,Height,-0.229761762573,0.207527617575,-0.649879460443,0.190355935298,0.275193472598,43,0.386095710041,-50.0182520191,110.036504038,H2A_I ~ AgeGroup + Cadence + Female + Height,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_relative_speed,H2A_I,full,Intercept,0.0384459498273,0.212279088961,-0.391290598986,0.468182498641,0.857243475388,43,0.390780230835,-49.853562773,109.707125546,H2A_I ~ AgeGroup + Cadence + Female + RelativeSpeed,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_relative_speed,H2A_I,full,AgeGroup,0.466956251767,0.273155089551,-0.086017317363,1.0199298209,0.0955156588667,43,0.390780230835,-49.853562773,109.707125546,H2A_I ~ AgeGroup + Cadence + Female + RelativeSpeed,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_relative_speed,H2A_I,full,Cadence,0.476071956513,0.142414247501,0.187769385014,0.764374528012,0.00187208156897,43,0.390780230835,-49.853562773,109.707125546,H2A_I ~ AgeGroup + Cadence + Female + RelativeSpeed,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_relative_speed,H2A_I,full,Female,-0.674073948805,0.2658017433,-1.2121614467,-0.13598645091,0.0154450971174,43,0.390780230835,-49.853562773,109.707125546,H2A_I ~ AgeGroup + Cadence + Female + RelativeSpeed,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_relative_speed,H2A_I,full,RelativeSpeed,-0.163965687961,0.132672187518,-0.432546490086,0.104615114165,0.224092128741,43,0.390780230835,-49.853562773,109.707125546,H2A_I ~ AgeGroup + Cadence + Female + RelativeSpeed,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
CadenceHof,H2A_I,full,Intercept,-0.318045915562,0.192379045509,-0.706858470051,0.070766638927,0.106113614106,43,0.243815790839,-54.4998404377,114.999680875,H2A_I ~ AgeGroup + CadenceHof,nonrobust,"Student t, residual degrees of freedom",40,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
CadenceHof,H2A_I,full,AgeGroup,0.651236874723,0.27884281851,0.0876745164687,1.21479923298,0.0246187163717,43,0.243815790839,-54.4998404377,114.999680875,H2A_I ~ AgeGroup + CadenceHof,nonrobust,"Student t, residual degrees of freedom",40,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
CadenceHof,H2A_I,full,CadenceHof,0.301771636905,0.141033271003,0.0167327636669,0.586810510143,0.0385305624539,43,0.243815790839,-54.4998404377,114.999680875,H2A_I ~ AgeGroup + CadenceHof,nonrobust,"Student t, residual degrees of freedom",40,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
StepLengthHof,H2A_I,full,Intercept,-0.363350380882,0.19982142917,-0.767204553833,0.040503792068,0.0765004950301,43,0.173564824683,-56.4098245858,118.819649172,H2A_I ~ AgeGroup + StepLengthHof,nonrobust,"Student t, residual degrees of freedom",40,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
StepLengthHof,H2A_I,full,AgeGroup,0.744003160854,0.287748472175,0.162441805144,1.32556451656,0.0134705562898,43,0.173564824683,-56.4098245858,118.819649172,H2A_I ~ AgeGroup + StepLengthHof,nonrobust,"Student t, residual degrees of freedom",40,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
StepLengthHof,H2A_I,full,StepLengthHof,-0.129276451985,0.145537577312,-0.423418867856,0.164865963886,0.37970682903,43,0.173564824683,-56.4098245858,118.819649172,H2A_I ~ AgeGroup + StepLengthHof,nonrobust,"Student t, residual degrees of freedom",40,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
CadenceHof_sex,H2A_I,full,Intercept,-0.187995871807,0.213686044382,-0.620216693516,0.244224949902,0.38436969378,43,0.277230318324,-53.5281608972,115.056321794,H2A_I ~ AgeGroup + CadenceHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
CadenceHof_sex,H2A_I,full,AgeGroup,0.68823921166,0.277457173766,0.127029105584,1.24944931774,0.0175409006125,43,0.277230318324,-53.5281608972,115.056321794,H2A_I ~ AgeGroup + CadenceHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
CadenceHof_sex,H2A_I,full,CadenceHof,0.272977621912,0.141275515727,-0.0127790809722,0.558734324796,0.0606176356452,43,0.277230318324,-53.5281608972,115.056321794,H2A_I ~ AgeGroup + CadenceHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
